total_result,block_size,color_channel,bin_width,coefficients
0.3918,6,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.7807,6,ChannelYUV.U,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.7895,6,ChannelYUV.V,0.1,[(0|0)(0|2)(0|5)(1|1)]
0.1871,6,ChannelYUV.Y,0.1,[(0|0)(1|0)]
0.5344,6,ChannelYUV.U,0.1,[(0|0)(1|0)]
0.5680,6,ChannelYUV.V,0.1,[(0|0)(1|0)]
0.2346,6,ChannelYUV.Y,0.1,[(0|0)(0|1)(2|3)]
0.6762,6,ChannelYUV.U,0.1,[(0|0)(0|1)(2|3)]
0.7083,6,ChannelYUV.V,0.1,[(0|0)(0|1)(2|3)]
0.2858,6,ChannelYUV.Y,0.1,[(0|0)(3|4)]
0.5899,6,ChannelYUV.U,0.1,[(0|0)(3|4)]
0.6228,6,ChannelYUV.V,0.1,[(0|0)(3|4)]
0.5680,6,ChannelYUV.Y,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.7902,6,ChannelYUV.U,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.8012,6,ChannelYUV.V,0.1,[(0|0)(0|5)(1|3)(1|5)(4|5)]
0.5768,8,ChannelYUV.Y,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.7295,8,ChannelYUV.U,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.7749,8,ChannelYUV.V,0.1,[(0|0)(1|3)(0|4)(1|6)]
0.3830,8,ChannelYUV.Y,0.1,[(0|0)(1|4)]
0.5833,8,ChannelYUV.U,0.1,[(0|0)(1|4)]
0.6148,8,ChannelYUV.V,0.1,[(0|0)(1|4)]
0.5190,8,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.6974,8,ChannelYUV.U,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.7244,8,ChannelYUV.V,0.1,[(0|0)(0|2)(0|3)(3|6)]
0.3487,8,ChannelYUV.Y,0.1,[(0|0)(5|4)]
0.5387,8,ChannelYUV.U,0.1,[(0|0)(5|4)]
0.5936,8,ChannelYUV.V,0.1,[(0|0)(5|4)]
0.6016,8,ChannelYUV.Y,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.6806,8,ChannelYUV.U,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.6937,8,ChannelYUV.V,0.1,[(0|0)(1|3)(2|3)(2|7)(7|3)]
0.3209,10,ChannelYUV.Y,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.6659,10,ChannelYUV.U,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.6689,10,ChannelYUV.V,0.1,[(0|0)(7|4)(1|1)(1|4)]
0.2829,10,ChannelYUV.Y,0.1,[(0|0)(8|5)]
0.5475,10,ChannelYUV.U,0.1,[(0|0)(8|5)]
0.5453,10,ChannelYUV.V,0.1,[(0|0)(8|5)]
0.1725,10,ChannelYUV.Y,0.1,[(0|0)(1|2)]
0.4883,10,ChannelYUV.U,0.1,[(0|0)(1|2)]
0.4795,10,ChannelYUV.V,0.1,[(0|0)(1|2)]
0.1601,10,ChannelYUV.Y,0.1,[(0|0)(0|2)(0|3)(3|0)]
